,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
24,24,92.63357827966392,94.37070869825216,96.78886913390878,111.9790677822005,179.90371617057613,139.43487445848814,9.932213032777025,25.86417239917798,100.00633214771852,93.9228847136665,85.37270052961532,90.1029071128702,176.5940567153163,177.77081666871297,132.61336102425537,117.55934520916529,223.973,192.993
136,136,52.19752008125474,127.88976429248602,167.14986743442736,150.1260863835417,179.98776535972718,167.66844379398742,83.14009108576775,68.32380894650088,96.0966063978654,98.17873455349442,89.94692294758731,63.51866968733579,160.0015157716007,139.85440956049155,124.4246021398458,126.39354154031037,223.076,191.154
196,196,77.70271931602647,96.54738929449115,131.98655620397204,173.7313792105685,158.61792013573609,142.59286725957244,155.93688933281845,85.7719854353371,86.08302190937702,109.9439489462256,84.29654119857692,21.374690191932796,171.3677602630023,106.39711318022913,122.359437393024,158.26864328288897,222.154,190.247
231,231,56.41962191908486,123.38964301882376,97.73251827471648,74.33477738385528,175.74515321945586,157.34557454410594,10.37406232119261,7.574335697563559,100.32212160508394,90.22717327269676,96.69399757310508,77.32732607629026,135.26032421432907,170.7550621954468,136.21401607985794,156.69128762788853,215.792,196.648
318,318,85.064789996503,100.27401130340591,142.60295833577476,134.34461139765804,163.8026863734578,166.50146833352247,127.54175887493344,144.20795476217805,99.46379898374136,94.47562229400998,121.683903416107,90.84916548384666,84.38034908092105,178.1332597754172,113.50807650681264,175.7592155474847,217.597,193.865
450,450,70.89609428023579,102.72627863378634,141.59492738668237,58.9257935163992,163.21261003957665,125.52280155370455,136.61550700618324,136.8371601552804,72.83306098056222,99.8726093215865,89.21651300405304,61.2074756306777,172.824516257278,162.87110735945086,133.8962287301264,97.24665920437349,214.844,199.396
475,475,-1.0,-1.0,98.90924114512788,120.09941000047156,143.1530621253397,129.26725194954733,7.098406437793321,32.8797945749211,97.16093454576225,98.72317456909452,70.12210993696857,31.740656997174497,177.32428612925088,146.00336913397035,136.6449074772081,87.63916354412369,212.166,204.863
516,516,107.02075386723456,74.64923714290671,84.6652057405592,105.45707004898166,172.4666101870637,146.4163336365211,165.23173584221234,155.33191943793744,90.09986751999485,91.61065168300335,88.00138932906248,88.29878945717172,173.8964793678849,179.65798186027993,135.24847024680332,147.95788361725184,214.854,187.509
540,540,90.13584669452416,84.45554901247039,166.1545082943302,135.76899205387795,139.15572441631627,146.9796700158224,85.71792719630771,145.51527178880758,99.8466142492124,95.45748702581815,53.86626842754569,90.15682763627196,74.80473178342083,161.68571462249903,134.77730800281344,93.38975264988964,216.676,193.886
584,584,-1.0,-1.0,133.01774469710332,141.7401960406225,152.5144426575591,158.88725771933326,46.67996642986326,55.63056313334804,93.84648640743568,93.75065499126865,89.96388543972036,88.09859037404212,179.8926518904156,177.75790995940002,153.24346116529094,112.87320764831432,229.469,186.582
600,600,48.25855115469896,131.97074760077948,99.672759474966,92.96790432001274,167.06768289468337,177.44755188709846,9.446886943425117,10.62313657056002,88.45373682343651,88.37509116846314,96.73293567639446,89.73599042437459,175.29458825081977,179.78871071771894,111.2281522995796,129.38081628900434,227.621,187.519
615,615,52.84071470626493,127.29179145285867,103.01028911281752,77.97279479053205,174.95424879462564,158.83837335854142,174.9907434524061,169.03361876563363,90.22562546171017,96.78238020186636,82.23892548162922,88.46246955030092,172.57170275314743,176.06409745693855,141.160860503758,132.44353482461108,222.194,184.766
650,650,83.5281359706485,102.39759638677155,136.58686472558654,170.49072033642267,153.09033051416694,151.01244552958977,143.6630715104169,76.6501697951698,93.83548622631125,98.39478862750624,92.20548317843426,52.98947616135003,152.24023483866307,72.06881829296475,93.42317994003974,125.4379624083948,222.18,192.953
777,777,97.11928253090822,76.96779140110863,158.51927333898837,134.94810619614827,156.67936500422448,158.58895103170977,68.055648315415,161.605215308154,76.09772081866103,98.70815294121036,82.56718746683237,53.67675367988091,173.08886028886428,125.69165314618247,108.62663162894566,97.13553957692088,214.904,194.824
821,821,149.254485978513,30.45039052451167,88.25945580253021,95.2693862053506,175.6807948976519,179.4881326882102,15.11120374452325,22.612717210638003,67.15907449440941,116.56719530210728,80.96116462375936,122.85228631233204,130.9402813756835,145.15545892359611,119.33726576230606,114.5696438936013,235.856,200.257
841,841,108.11118261366752,76.98487256377076,98.84204764995972,106.56663408399898,165.85339904372944,138.57988729651717,176.58512662198268,165.08723082218415,100.70374807719313,91.49280095182846,88.04845696590725,86.34035457480982,168.80760420014977,174.50032687197316,144.02932482380638,147.64130425083587,260.504,188.403
900,900,119.53309862830352,62.270535202657285,173.7123572257565,154.708049859639,167.97699018140756,162.2843027341589,82.4644128779301,130.92417324135675,99.89725264011062,105.30315837082436,85.91506962968347,63.15079636882763,179.52891749051415,100.31190379906192,162.51507803993616,136.02040134846013,233.098,188.402
