,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
26,26,98.31364677914786,75.68055096812633,141.83543323148598,128.39719656875403,174.52967446432598,162.11421387304247,57.415563468735165,49.70855204114636,93.7831193191255,96.33424024116064,93.79299212651148,92.13284268203958,176.3646705345926,177.5930768029995,114.23422533405883,175.99712210442237,393.348,253.678
48,48,97.67610906236874,81.79637817536128,147.31186394422687,41.800503533575686,129.74565964883257,171.77532058085137,121.83421028137116,113.23762217176608,88.62244512093157,100.64842348239202,85.78762821627413,69.8782410713909,159.4578485936079,169.32458011383687,100.11045974343894,119.9088946262185,347.635,244.553
95,95,97.56215851773474,82.29410627314606,138.76699125273936,139.06688072069898,157.9799262443817,63.882059854492624,52.89972192421967,57.442734759523056,99.50130266235088,92.97437555472388,99.87166949551832,90.63172808643124,165.36895141007844,164.1622798462854,122.26184371003168,143.31011066071423,420.763,251.07
132,132,128.15174849854492,48.78963616753287,85.35476635278036,122.12700834054932,141.11530673122897,165.46363589931633,4.453580948185389,44.19057166772407,102.217435351179,85.26315536612707,112.16381909374908,82.02777582509438,165.41584071160094,167.4573872104456,131.3421385829475,168.84301768383932,456.002,258.894
182,182,62.07369863826983,118.48373653547972,124.54779159277844,77.57930584369858,122.47170347795738,40.06933985572353,49.68883795190584,14.852821268998728,89.11173425200568,98.59792065809208,78.79065207963718,78.61378246394459,170.50038113592208,176.75669099394247,106.99602763699494,161.12423682493173,409.015,243.278
236,236,51.11151283172277,122.62435183228428,91.06857641931208,93.55166621657264,140.65789123403115,139.12752067249485,15.025267050282846,5.611766948465485,100.14770663902488,95.32319955508524,115.70362009692096,119.28454283286612,127.97341220960162,131.4915206489013,106.25590464429034,134.5685405570493,456.01,275.861
289,289,108.14781456970466,65.16874276644371,97.72814050080947,84.87277065459273,171.25667981252084,173.56973668917945,6.786086899497094,17.419274486562166,90.29298162480345,103.64849401453262,85.3807204942742,107.73224257516524,160.59439079143783,90.90920226086902,148.15917385042218,145.30158761419045,380.234,261.488
324,324,77.70369081217935,105.37289496828583,150.39116720579693,163.28320387705998,103.14701693157186,119.57578436647007,65.79169539060757,75.53094659384615,95.33807417228566,95.417269796459,92.74348417496827,90.08153745274753,175.53716162449044,149.98300001170847,146.20229087799865,137.18098714972527,295.417,252.357
366,366,97.18211450336936,82.78955089397206,98.4577378778462,90.00400131297799,155.22432369183204,159.4630440204836,12.414122506414389,9.091047410342645,98.69661197251784,98.95374243706016,115.21696819710606,111.65254435912354,152.6127997987081,174.35405857515616,140.94351293103057,166.76272396268132,389.434,260.183
388,388,90.03525259727809,89.93192636627059,172.2500595513969,174.28982536955462,143.48842348957314,151.9985449087167,86.40600058431376,93.69212491241753,94.18979135838524,99.26535312035982,71.16471050208804,71.20443077369751,168.22871014601,179.22029950556924,129.75918710078804,178.8959906374378,492.488,254.982
454,454,-1.0,-1.0,155.0554503708131,162.20332685789452,61.35397465052534,46.94990889290816,72.50260731883093,81.33002710755369,102.32697325125402,96.21550288974488,86.47534353754871,81.91814371122089,165.09979813404604,171.52689411304354,145.98753913415314,77.85685348286127,683.071,262.817
538,538,-1.0,-1.0,151.38752919386235,164.87258555413877,108.87827028695516,150.32664012967766,66.97539299643124,82.82675927174284,97.00261832275208,96.72437681093854,84.22778215703866,74.3755931753658,169.4857237995323,168.52705070897042,126.44199716575632,161.60606592702783,452.042,252.378
569,569,55.63479532317579,129.67593427610515,112.87921543358787,75.84973142054017,154.59406356724085,153.9383449721581,34.73756478429675,25.946512913036862,122.1789062067225,71.00129331970551,127.05525056396742,56.42978795640983,109.80036547488557,135.3829758935353,116.0185300135278,110.89432591256588,380.288,271.949
590,590,98.8796109346365,84.76897418542312,174.35294493737624,142.1902908240116,119.49006126206696,106.8258690024891,87.13233985041424,67.11388318220709,95.49883242450304,94.55704048252352,112.59783615173043,77.805752817871,163.0432802342429,177.622791748831,145.3984396169561,111.6597062419498,377.689,248.466
608,608,49.98867328969863,130.1320669974891,106.94433439668812,79.44476684064159,161.0132028405793,145.61619664878043,38.72532410329362,29.48860963492912,119.79843398927687,70.93631127426971,125.69327881194334,49.98547635016379,105.3904458494938,126.06212456693808,95.96641847899978,105.87905758874288,388.122,273.224
686,686,143.32862993134066,37.5364363353297,107.75426366239674,76.13268848858625,141.08996967373022,156.85518699736855,70.54910577416942,68.53904479454185,73.04082464443624,82.27355587508403,114.1876268434761,82.33158194476212,177.31598247715652,173.87661946412317,97.97850096113028,104.18801293778944,244.514,239.357
742,742,96.74313446593112,80.41055498072153,144.82518187621278,148.78399925771714,16.036731639024786,20.90532988341996,58.75630300769638,67.48660018738033,93.99644186902954,95.83092989036808,92.61449768876768,92.390468478468,171.8842887923887,178.79732469420404,164.77676797903135,148.1085275095305,338.563,255.008
757,757,92.1877016002342,87.8271846933775,161.5676812097365,176.53597687529455,127.2659619330952,150.02842713066514,77.94206101767467,92.06434825021503,96.41267186314568,95.53372582732516,91.1498958274424,89.97945027664804,171.71840977112075,172.00446920442178,168.26147118164886,168.02641629848193,351.608,253.696
804,804,63.60652264424916,119.38892022184308,102.99014962453676,97.40540270872737,178.54735107017746,174.8635471411065,19.07863923545841,14.402362499074275,99.14344879452364,96.85365474072566,88.54322046997967,93.38914148789492,173.36165187855252,176.26737002779927,157.81406056263896,162.53355530607382,385.465,268.024
819,819,79.80250779924106,100.28571465137846,143.09269730182982,145.11634223818285,6.820976630702403,18.12966438318948,59.29884884519795,63.52329282525736,99.74569615915516,100.36234278447117,93.06120297954492,80.18319766510572,173.34034777989365,171.74573869330482,176.4105555797663,169.3489636016167,403.74,247.156
880,880,89.9310140384041,89.88177464093266,117.63003878320336,119.99797636756423,49.64212124491125,45.27330085090514,32.8320205474123,38.87293145063692,95.16241629853712,98.71834012146468,88.43964586522557,90.07803097553376,174.17676914510076,172.90711084538293,161.51418594011824,145.89558530066145,399.89,236.723
960,960,94.9662966978038,85.59602771407638,127.37786966345908,31.58603462810787,37.73264758428253,140.96004100277167,34.98814593776072,49.22064480645062,92.55051259345238,94.85829430031772,94.5683231499363,84.1278058132312,154.67920123554958,177.50979289628734,103.01971185235732,129.95882815876496,330.703,241.939
1023,1023,59.403278563239,116.81185193708048,134.40013892227665,137.94398141992505,27.66948061468983,32.92481126291071,56.937717072656326,51.853309383149984,92.04360544718904,100.65167690364646,69.90150883417269,75.1259795921552,172.97770106346206,170.13097602227066,116.7863926707576,164.0499087425543,283.666,243.27
1077,1077,96.67927842902114,77.72757721577639,147.93867194469766,36.039946068261,10.81408948992771,134.22939622573136,59.90817994398601,38.46700542271968,100.65477978496592,95.79397258533308,84.79791042312175,84.96086278257417,155.85300847360773,169.0458994101973,104.61643032090817,177.65749456625232,111.471,247.139
1117,1117,72.5315989575318,105.10377500194193,76.04280192424564,148.3959332468783,97.41517101977767,43.92411397186092,6.76727797896343,61.56322492988247,89.1808562972248,98.88724139692351,120.98220072328644,122.23912393700284,148.03230260619168,159.03200493864065,121.68081097114234,129.63600612782048,136.251,275.881
1153,1153,103.6648555566842,77.75786762538961,25.420815513186284,151.18576962659014,127.514500406664,37.40618533551567,47.19354945764099,41.06315664562225,87.7684112521612,94.65590271823348,95.1937885786672,98.83989787198324,164.52319289855362,149.23819308558467,166.000042552329,90.30774616671351,287.636,279.788
1260,1260,58.8505656927471,124.60263031123093,149.82495639652225,149.82495639652225,6.0528985100670765,6.0528985100670765,67.28001258425962,67.28001258425962,94.7589824235816,97.406395079734,86.31010979215388,57.634401429591705,154.47998181420013,178.6951920661966,94.6207038453544,168.05960093087117,585.19,270.676
1286,1286,-1.0,-1.0,87.68462276093788,132.45018285006282,132.45018285006282,30.960852171066325,9.676683393200802,47.33611289284697,99.57091321706469,95.00624040347176,94.51248598733822,94.89661790123576,169.8087594064182,170.6491916434236,56.794564920355015,51.22972658053526,663.516,269.366
1305,1305,130.81729370703692,45.57215060247062,101.1878820535464,143.83682337229624,143.83682337229624,20.960329995287847,12.965350398401885,62.78883746704824,90.54490861028069,91.17948489741224,81.81034132446504,89.79992237570028,175.04743312861405,145.67084451700205,98.9521363867106,95.86165765361876,710.46,264.154
1496,1496,83.37922876622228,93.65837357706872,111.84251100697286,122.88120429119822,60.66413919575327,55.77603248550833,31.261021661897715,37.55158811279134,89.02697332578234,97.20006650324322,91.2437233643002,90.83075837335775,172.46710173920405,176.28029390461415,174.0404560518949,151.35555486932182,395.944,240.667
1544,1544,98.83142500856395,81.09170473273716,174.43086319868416,175.70181753620125,163.57176282341348,157.3204996415278,89.95369301089696,92.33538849704024,95.46515228173288,96.61037992282122,90.05179023658462,87.06513181300548,173.4241663333163,178.1626009201388,173.53086912689773,135.6230870056116,392.059,245.845
1587,1587,91.30943139676418,92.78146707718028,114.77303290565762,119.1544240331473,101.12064753008102,97.47755769892557,152.21456581174667,156.72901811467736,91.21448170481789,95.7698596604358,90.0604427070798,85.7848511010087,173.91103592774078,178.18997315483188,179.15307602451915,150.28844918496563,393.346,239.347
1757,1757,93.0092308630134,87.02013486328401,122.20946949260517,117.88805101196375,51.70515993113269,53.70197552491931,37.11046931480247,35.11975768927774,94.9039393493538,97.35977121571344,90.06918364306271,87.052253790983,172.34833758335182,175.5852675719011,165.9662521227431,146.73990955553444,393.362,239.344
1850,1850,91.96212091085864,85.49767078661422,108.51040388375488,109.10228682705257,168.34124465335574,49.88161122105127,22.84964344780892,29.63539105657235,95.78382860312396,96.34076938687248,84.83044081536578,88.4808540831006,165.62682245139487,178.91341976008067,145.87313016055523,155.98238073015972,354.146,262.813
